"id_test","classe","attribut","cle_primaire","conteneur_c1","conteneur_c2","conteneur_c3","conteneur_c4","actif","condition"
"","t_adresse","ad_batcode","","C","C","C","O","true","Si délégué au constructeur/intégrateur ou si généré par l'opérateur "
"","t_adresse","ad_codtemp","","C","C","C","N","true","Si ad_batcode vide ou NULL"
"","t_adresse","ad_distinf","","N","C","C","C","true","N'est pas rempli dans le cas où le PB est dans l'immeuble"
"","t_adresse","ad_dta","","N","N","C","C","true","Si adresse sous convention syndic"
"","t_adresse","ad_gest","","N","N","C","N","true","Si adresse sous convention syndic"
"","t_adresse","ad_hexacle","","C","C","C","C","true","Si existant"
"","t_adresse","ad_idatsgn","","N","N","C","N","true","Si adresse sous convention syndic"
"","t_adresse","ad_nbfofon","","C","C","C","N","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nbfogfu","","C","C","C","N","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nbfotte","","C","C","C","N","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nbfotto","","C","C","C","N","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nblent","","C","C","C","C","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nblobj","","C","C","C","C","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nblope","","C","C","C","C","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nblpub","","C","C","C","C","true","Donnée relevée et fournie à l'exploitant dans un format exploitable permettant de générer en GraceTHD v3 et ultérieure."
"","t_adresse","ad_nombat","","C","C","C","C","true","Si existant"
"","t_adresse","ad_rep","","C","C","C","C","true","Si existant"
"","t_baie","ba_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_cable","cb_ba1","","N","C","C","C","true","Si part d'un NRO ou d'un  SRO"
"","t_cable","cb_ba2","","N","C","C","C","true","Si arrive dans d'un NRO ou d'un  SRO"
"","t_cable","cb_bp1","","N","C","C","C","true","Si part d'une boite d'epissure"
"","t_cable","cb_bp2","","N","C","C","C","true","Si arrive dans une boite d'epissure"
"","t_cable","cb_dateins","","N","N","C","C","true","Si cb_statut IN ('REC','MCO')"
"","t_cable","cb_lgreel","","N","N","C","C","true","Si cb_nd1 != cb_nd2 (câble extrasite)"
"","t_cable","cb_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_cable","cb_r2_code","","N","C","C","C","true","Si transport ou distribution"
"","t_cable","cb_r3_code","","N","C","C","C","true","Si cable déployé limité à un usage distribution"
"","t_cassette","cs_bp_code","","N","N","C","C","true","Si BPE"
"","t_cheminement","cm_compo","","N","C","C","C","true","Si GC construit dans le cadre du projet OU si données disponibles dans le PIT dans le cadre de l’utilisation du GC Orange. "
"","t_cheminement","cm_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_ebp","bp_dateins","","N","N","C","C","true","Si bp_statut IN ('REC','MCO')"
"","t_ebp","bp_lc_code","","N","C","C","C","true","Si l'ebp n'est pas rattaché à un point technique (donc s'il est dans un local)"
"","t_ebp","bp_perirec","","N","N","C","N","true","Si besoin pour échanges intra RIP"
"","t_ebp","bp_pt_code","","N","C","C","C","true","Si boite d'epissure positionnée sur un point technique"
