"code","libelle","definition"
"CX","COLLECTE TRANSPORT DISTRIBUTION",""
"CO","COLLECTE","Cable/cheminement en amont d’un NRO, d un NRA ou d un POP, permettant de faire transiter les flux mutualises des abonnes
    Vers le cœur de reseau de l operateur."
"CT","COLLECTE TRANSPORT",""
"CD","COLLECTE DISTRIBUTION",""
"TD","TRANSPORT DISTRIBUTION","Mutualisation des fonctions transport et distribution"
"TR","TRANSPORT","Cable/cheminement situee entre un noeud de raccordement (NRO, NRA, …) et les sous-repartiteurs (SRO, ...)."
"DI","DISTRIBUTION","Cable/cheminement situee entre le sous-repartiteur (SRO, ...) et les points de branchement (PBO, ...)."
"RA","RACCORDEMENT FINAL","Cable/cheminement  situee  entre  le  point de branchement (PBO, ...) et la prise terminale (DTIO, ...)."
"BM","BOUCLE METROPOLITAINE",""
"LH","LONGUE DISTANCE (LONG HAUL)",""
"NC","NON COMMUNIQUE",""
